suburb,gardens
Alawa,32
Anula,45
Berrimah,18
Brinkin,27
Casuarina,21
Coconut Grove,34
Driver,39
Jingili,29
Karama,41
Leanyer,36
Ludmilla,24
Marrara,20
Millner,31
Moil,28
Nightcliff,26
Rapid Creek,30
Stuart Park,22
The Narrows,17
Tiwi,25
Wagaman,33
Wanguri,37
