suburb,gardens
Anula,45
Karama,41
Driver,39
Wanguri,37
Leanyer,36
Coconut Grove,34
Wagaman,33
Alawa,32
Millner,31
Rapid Creek,30
Jingili,29
Moil,28
Brinkin,27
Nightcliff,26
Tiwi,25
Ludmilla,24
Stuart Park,22
Casuarina,21
Marrara,20
Berrimah,18
The Narrows,17
